maxQuiescenceDepth, maxFullQuiescenceSearchDepth, maxCheckSearchDepth, nullMoveReduction, minExtensionHorizon, simpleCheckExtension, attackCheckExtension, forcedMoveExtension, mateExtension, rankAttackExtension, pawnOnSevenRankExtension, protectingPawnOnSixRankExtension, recaptureMinExtension, recaptureMaxExtension, recaptureBeginMinTreshold, recaptureBeginMaxTreshold, recaptureTargetTreshold, maxEstimateForZeroWindowSearch, totalTime, totalNodeCount
13, 4, 8, 4, 2, 0.0, 0.7509765625, 0.6708984375, 0.5, 0.9521484375, 0.9853515625, 1.0, 0.171875, 0.9580078125, 7.381, 8.317, 6.029, -126200, 22677, 27308186
12, 5, 10, 3, 0, 0.0, 0.595703125, 1.0, 0.3828125, 1.0, 1.0, 0.98046875, 0.0, 1.0, 8.569, 8.57, 4.474, 107401, 22078, 26747113
9, 4, 8, 3, 0, 0.0869140625, 0.4990234375, 0.7216796875, 0.20703125, 1.0, 0.525390625, 0.9638671875, 0.037109375, 1.0, 8.627, 8.669, 0.0, 3931395, 22087, 26807727
17, 5, 12, 5, 1, 0.0, 0.53515625, 0.74609375, 0.2353515625, 0.6796875, 1.0, 1.0, 0.0, 1.0, 8.999, 9.0, 9.0, 1411974, 22281, 26482241
18, 9, 16, 5, 1, 0.1953125, 0.55859375, 0.880859375, 0.4716796875, 1.0, 0.7470703125, 0.6767578125, 0.0, 0.75, 8.978, 8.998, 9.0, 681312, 22082, 26741839
13, 8, 10, 5, 1, 0.0, 0.529296875, 0.865234375, 0.0, 0.6357421875, 0.94921875, 1.0, 0.0126953125, 0.943359375, 8.999, 9.0, 7.949, 395323, 22074, 26826849
19, 6, 12, 3, 0, 0.0, 0.5263671875, 0.931640625, 0.3623046875, 0.4833984375, 1.0, 0.783203125, 9.765625E-4, 1.0, 6.846, 9.0, 5.33, -1899575, 22097, 26656925
18, 2, 11, 5, 0, 0.1220703125, 0.400390625, 0.6640625, 0.2392578125, 0.451171875, 1.0, 0.66015625, 0.0, 0.703125, 8.999, 9.0, 9.0, 233539, 22295, 26763091
19, 8, 10, 5, 0, 0.0791015625, 0.7353515625, 0.765625, 0.0, 0.41015625, 1.0, 0.890625, 0.0, 0.880859375, 8.739, 9.0, 8.565, -2818723, 22288, 26909560
19, 8, 8, 6, 0, 0.0, 0.5625, 0.9892578125, 0.5712890625, 0.8232421875, 1.0, 1.0, 0.0224609375, 0.5751953125, 8.999, 9.0, 8.674, -1705699, 23079, 26743211
